PolicyNo,PolicyHolderID,PolicyHolderName,InsuredID,InsuredName,InsuredDOB,PXIllness,Status,EffectiveDate,ExpiryDate,PremiumAmount,RiderPremiumAmount,OutstandingPremium,RiderOutstandingPremium,ProductCode,EntryDate,CommencementDate,ReinstatementDate,RiderEntryDate,RiderCommencementDate,RiderReinstatementDate,AllowAutoClaim,PolicyYearLimit,PolicyYearBalance,LifetimeLimit,LifetimeBalance,Rider,RiderPrdtCode
20229566,S5509699J,Jordan Espinoza,S3799836J,Jeremiah Nelson,11/5/1980,,1,8/31/2019,8/30/2020,122.43,103.74,0,0,PEP,1/1/2009,1/1/2009,,1/1/2009,1/1/2009,,Y,500000,500000,10000000,10000000,Y,PEPD
20229568,S4911731S,Samara Koch,S4911731S,Samara Koch,2/1/1996,,1,4/1/2020,3/31/2021,122.43,161.68,0,0,PEP,4/1/2009,4/1/2009,,4/1/2009,4/1/2009,,Y,500000,500000,10000000,10000000,Y,PEPR
20229651,S4108058G,Gloria Mcfarland,S4108058G,Gloria Mcfarland,12/12/1959,,1,9/1/2019,8/31/2020,41.12,0,0,0,PCC,9/1/2009,9/1/2009,,,,,Y,70000,70000,350000,350000,N,
20229701,S7395386J,Jaquan Fischer,S7395386J,Jaquan Fischer,5/16/1989,Stroke,1,9/1/2019,8/31/2020,122.43,0,0,0,PEP,9/1/2009,9/1/2009,,,,,Y,500000,500000,10000000,10000000,N,
20229702,S4395422S,Sara Greene,S3971344B,Brianna Travis,2/3/1989,,1,9/1/2019,8/31/2020,122.43,92.52,0,0,PEP,9/1/2009,9/1/2009,,9/1/2009,9/1/2009,,Y,500000,500000,10000000,10000000,Y,PCRIC
20229708,S5370922S,Sherlyn Poole,S5673645G,Genevieve Chang,5/14/1963,Chronic renal disease,1,9/1/2019,8/31/2020,65.42,70.09,0,0,PEB,9/1/2009,9/1/2009,,9/1/2009,9/1/2009,,Y,150000,150000,10000000,10000000,Y,PEBD
20234278,S5500878H,Haleigh Leach,S4645559H,Heidi Mcmillan,6/30/1963,Congenital heart disease,1,10/1/2019,9/30/2020,116.31,103.74,0,0,PEP,10/1/2009,10/1/2009,,10/1/2009,10/1/2009,,Y,500000,500000,10000000,10000000,Y,PEPD
20250118,S9199437E,Elaina Patton,S1755925A,Anastasia Sawyer,5/10/1977,Stroke,1,9/1/2019,8/31/2020,65.42,0,0,0,PEB,9/1/2009,9/1/2009,,,,,Y,150000,150000,10000000,10000000,N,
20250282,S4357840D,Devan Christian,S4001245B,Brooke Santana,4/28/1982,,1,5/1/2020,4/30/2021,764.49,281.64,0,0,PEB,3/1/2009,5/1/2009,,3/1/2009,5/1/2009,,Y,150000,150000,10000000,10000000,Y,PEBD
20250679,S3339452H,Hailie Knapp,S3339452H,Hailie Knapp,7/26/1965,Fibrosis or cirrhosis of liver,1,12/1/2019,11/30/2020,1093.46,379.44,0,0,PBB,6/1/2008,6/1/2008,,6/1/2008,6/1/2008,,Y,100000,100000,8999999488,8999999488,Y,PBBD
20250714,S4443667M,Marco Foster,S4443667M,Marco Foster,10/20/1994,,1,12/1/2019,11/30/2020,1000,379.44,0,0,PBB,6/1/2008,6/1/2008,,6/1/2008,6/1/2008,,Y,1000000,1000000,100000,100000,Y,PBBD
20250750,S9560216R,Rex Leonard,S9560216R,Rex Leonard,5/18/1999,,1,12/1/2019,11/30/2020,2140.19,52.34,0,0,PEA,6/1/2008,6/1/2008,,6/1/2008,6/1/2008,,Y,1000000,1000000,100000,100000,Y,PEAR
20250760,S9601995S,Sasha Hicks,S9601995S,Sasha Hicks,7/1/1998,,1,12/1/2019,11/30/2020,119.63,80.37,0,0,PAA,6/1/2008,6/1/2008,,6/1/2008,6/1/2008,,Y,1000000,1000000,100000,100000,Y,PAAD
20250767,S9646213J,Jaden Burgess,S9646213J,Jaden Burgess,5/16/1980,,1,12/1/2019,11/30/2020,3073.83,828.04,0,0,PEP,5/1/2006,6/1/2008,,6/1/2006,6/1/2008,,Y,1000000,1000000,100000,100000,Y,PEPD
20250789,S4493505E,Emely Mcmahon,S4493505E,Emely Mcmahon,5/11/1956,,1,12/1/2019,11/30/2020,88.79,93.46,0,0,PEA,6/1/2008,6/1/2008,,6/1/2008,6/1/2008,,Y,1000000,1000000,100000,100000,Y,PEAD
